Vernier Format 2
Untitled.sbl	14:14  Wednesday, March 27, 2019
Latest
Time	Transmittance	Absorbance
Time	%Trans	Abs
min	%	

0.000000000	99.311607361	0.002999989
0.008333334	99.288742065	0.003099991
0.016666668	99.311607361	0.002999989
0.025000002	99.311607361	0.002999989
0.033333335	99.311607361	0.002999989
0.041666668	99.311607361	0.002999989
0.050000004	99.311607361	0.002999989
0.058333337	99.311607361	0.002999989
0.066666670	99.288742065	0.003099991
0.075000003	99.288742065	0.003099991
0.083333336	99.311607361	0.002999989
0.091666669	99.288742065	0.003099991
0.100000009	99.311607361	0.002999989
0.108333342	99.288742065	0.003099991
0.116666675	99.288742065	0.003099991
0.125000000	99.288742065	0.003099991
0.133333340	99.288742065	0.003099991
0.141666681	99.288742065	0.003099991
0.150000006	99.288742065	0.003099991
0.158333346	99.311607361	0.002999989
0.166666672	99.288742065	0.003099991
0.175000012	99.288742065	0.003099991
0.183333337	99.288742065	0.003099991
0.191666678	99.288742065	0.003099991
0.200000018	99.288742065	0.003099991
0.208333343	99.288742065	0.003099991
0.216666684	99.288742065	0.003099991
0.225000009	99.288742065	0.003099991
0.233333349	99.288742065	0.003099991
0.241666675	99.288742065	0.003099991
0.250000000	99.288742065	0.003099991
0.258333355	99.288742065	0.003099991
0.266666681	99.288742065	0.003099991
0.275000006	99.288742065	0.003099991
0.283333361	99.288742065	0.003099991
0.291666687	99.288742065	0.003099991
0.300000012	99.288742065	0.003099991
0.308333337	99.288742065	0.003099991
0.316666692	99.288742065	0.003099991
0.325000018	99.288742065	0.003099991
0.333333343	99.288742065	0.003099991
0.341666698	99.288742065	0.003099991
0.350000024	99.288742065	0.003099991
0.358333349	99.288742065	0.003099991
0.366666675	99.288742065	0.003099991
0.375000030	99.288742065	0.003099991
0.383333355	99.288742065	0.003099991
0.391666681	99.288742065	0.003099991
0.400000036	99.288742065	0.003099991
0.408333361	99.288742065	0.003099991
0.416666687	99.265884399	0.003199984
0.425000012	99.265884399	0.003199984
0.433333367	99.265884399	0.003199984
