Vernier Format 2
Untitled.sbl	14:56  Monday, March 25, 2019
Latest
Time	Transmittance	Absorbance
Time	%Trans	Abs
min	%	

0.000000000	97.768737793	0.009799992
0.016666668	97.768737793	0.009799992
0.033333335	97.791252136	0.009699993
0.050000004	97.791252136	0.009699993
0.066666670	97.791252136	0.009699993
0.083333336	97.791252136	0.009699993
0.100000009	97.791252136	0.009699993
0.116666675	97.746223450	0.009900013
0.133333340	97.768737793	0.009799992
0.150000006	97.791252136	0.009699993
0.166666672	97.791252136	0.009699993
0.183333337	97.768737793	0.009799992
0.200000018	97.791252136	0.009699993
0.216666684	97.768737793	0.009799992
0.233333349	97.768737793	0.009799992
0.250000000	97.768737793	0.009799992
0.266666681	97.768737793	0.009799992
0.283333361	97.768737793	0.009799992
0.300000012	97.768737793	0.009799992
0.316666692	97.791252136	0.009699993
0.333333343	97.791252136	0.009699993
0.350000024	97.768737793	0.009799992
0.366666675	97.791252136	0.009699993
0.383333355	97.813774109	0.009599984
0.400000036	97.791252136	0.009699993
0.416666687	97.791252136	0.009699993
0.433333367	97.813774109	0.009599984
0.450000018	97.791252136	0.009699993
0.466666698	97.791252136	0.009699993
0.483333349	97.836296082	0.009499997
0.500000000	97.858825684	0.009400000
0.516666710	97.903900146	0.009200007
0.533333361	97.903900146	0.009200007
0.550000012	97.903900146	0.009200007
0.566666722	97.881362915	0.009299992
0.583333373	97.903900146	0.009200007
0.600000024	97.881362915	0.009299992
0.616666675	97.881362915	0.009299992
0.633333385	97.881362915	0.009299992
0.650000036	97.881362915	0.009299992
0.666666687	97.858825684	0.009400000
0.683333397	97.881362915	0.009299992
0.700000048	97.858825684	0.009400000
0.716666698	97.858825684	0.009400000
0.733333349	97.858825684	0.009400000
0.750000060	97.881362915	0.009299992
0.766666710	97.881362915	0.009299992
0.783333361	97.881362915	0.009299992
0.800000072	97.903900146	0.009200007
0.816666722	97.948997498	0.009000004
0.833333373	97.971557617	0.008899987
0.850000024	97.994117737	0.008799993
0.866666734	97.994117737	0.008799993
