Vernier Format 2
Untitled.sbl	16:14  Wednesday, April 03, 2019
Latest
Time	Transmittance	Absorbance
Time	%Trans	Abs
min	%	

0.000000000	94.123916626	0.026300009
0.008333334	94.123916626	0.026300009
0.016666668	94.123916626	0.026300009
0.025000002	94.145591736	0.026200011
0.033333335	94.145591736	0.026200011
0.041666668	94.145591736	0.026200011
0.050000004	94.145591736	0.026200011
0.058333337	94.145591736	0.026200011
0.066666670	94.145591736	0.026200011
0.075000003	94.145591736	0.026200011
0.083333336	94.145591736	0.026200011
0.091666669	94.145591736	0.026200011
0.100000009	94.123916626	0.026300009
0.108333342	94.145591736	0.026200011
0.116666675	94.145591736	0.026200011
0.125000000	94.145591736	0.026200011
0.133333340	94.145591736	0.026200011
0.141666681	94.145591736	0.026200011
0.150000006	94.145591736	0.026200011
0.158333346	94.145591736	0.026200011
0.166666672	94.145591736	0.026200011
0.175000012	94.145591736	0.026200011
0.183333337	94.145591736	0.026200011
0.191666678	94.145591736	0.026200011
0.200000018	94.145591736	0.026200011
0.208333343	94.145591736	0.026200011
0.216666684	94.145591736	0.026200011
0.225000009	94.145591736	0.026200011
0.233333349	94.145591736	0.026200011
0.241666675	94.145591736	0.026200011
0.250000000	94.145591736	0.026200011
0.258333355	94.145591736	0.026200011
0.266666681	94.167274475	0.026099999
0.275000006	94.145591736	0.026200011
0.283333361	94.167274475	0.026099999
0.291666687	94.167274475	0.026099999
0.300000012	94.167274475	0.026099999
0.308333337	94.167274475	0.026099999
0.316666692	94.167274475	0.026099999
0.325000018	94.167274475	0.026099999
0.333333343	94.167274475	0.026099999
0.341666698	94.167274475	0.026099999
0.350000024	94.167274475	0.026099999
0.358333349	94.167274475	0.026099999
0.366666675	94.167274475	0.026099999
0.375000030	94.167274475	0.026099999
0.383333355	94.188957214	0.026000012
0.391666681	94.188957214	0.026000012
0.400000036	94.210647583	0.025900012
0.408333361	94.232345581	0.025799999
0.416666687	94.123916626	0.026300009
0.425000012	94.232345581	0.025799999
0.433333367	94.102249146	0.026399996
