Vernier Format 2
Untitled.sbl	15:00  Wednesday, March 27, 2019
Latest
Time	Transmittance	Absorbance
Time	%Trans	Abs
min	%	

0.000000000	92.875251770	0.032099996
0.008333334	92.875251770	0.032099996
0.016666668	92.875251770	0.032099996
0.025000002	92.875251770	0.032099996
0.033333335	92.875251770	0.032099996
0.041666668	92.875251770	0.032099996
0.050000004	92.875251770	0.032099996
0.058333337	92.875251770	0.032099996
0.066666670	92.875251770	0.032099996
0.075000003	92.875251770	0.032099996
0.083333336	92.875251770	0.032099996
0.091666669	92.875251770	0.032099996
0.100000009	92.875251770	0.032099996
0.108333342	92.875251770	0.032099996
0.116666675	92.896636963	0.032000009
0.125000000	92.896636963	0.032000009
0.133333340	92.896636963	0.032000009
0.141666681	92.896636963	0.032000009
0.150000006	92.896636963	0.032000009
0.158333346	92.896636963	0.032000009
0.166666672	92.896636963	0.032000009
0.175000012	92.896636963	0.032000009
0.183333337	92.896636963	0.032000009
0.191666678	92.896636963	0.032000009
0.200000018	92.896636963	0.032000009
0.208333343	92.896636963	0.032000009
0.216666684	92.896636963	0.032000009
0.225000009	92.896636963	0.032000009
0.233333349	92.896636963	0.032000009
0.241666675	92.896636963	0.032000009
0.250000000	92.896636963	0.032000009
0.258333355	92.896636963	0.032000009
0.266666681	92.896636963	0.032000009
0.275000006	92.896636963	0.032000009
0.283333361	92.875251770	0.032099996
0.291666687	92.896636963	0.032000009
0.300000012	92.896636963	0.032000009
0.308333337	92.896636963	0.032000009
0.316666692	92.896636963	0.032000009
0.325000018	92.896636963	0.032000009
0.333333343	92.896636963	0.032000009
0.341666698	92.896636963	0.032000009
0.350000024	92.896636963	0.032000009
0.358333349	92.896636963	0.032000009
0.366666675	92.896636963	0.032000009
0.375000030	92.896636963	0.032000009
0.383333355	92.918029785	0.031900007
0.391666681	92.960830688	0.031700004
0.400000036	92.960830688	0.031700004
0.408333361	92.896636963	0.032000009
0.416666687	92.704322815	0.032900013
0.425000012	92.918029785	0.031900007
0.433333367	92.576339722	0.033499993
